Country,GDP per capita (USD),Life satisfaction
Afghanistan,1970.5602, 4.25835
Albania,13191.952, 5.133704
Algeria,10735.383, 5.367827
Angola,6110.2744, 4.17838
Argentina,19690.662, 6.0237
Australia,48678.684, 7.1835
Belgium,48769.727, 6.8591
Bolivia,7845.171, 5.6843
Brazil,14063.982, 6.1246
Cameroon,3666.4106, 4.9732
Chile,23324.525, 6.3338
China,16315.815, 5.8179
Colombia,13448.933, 5.6304
Denmark,55819.91, 7.5864
Ecuador,10329.199, 5.5589
El Salvador,7982.626, 6.1216
France,42320.523, 6.6613
Germany,51423.234, 6.8918
United States,59919.82, 6.8937
Russia,26456.389, 5.6607
Spain,36210.875, 6.4362
Sweden,50923.11, 7.3952
Austria,51935.6038618156,7.1
Iceland,52279.7288513646,7.5
Netherlands,54209.5638357302,7.4
Denmark,55938.2128086032,7.6
United States,60235.7284916969,6.9
Armenia,12619.893, 5.2826
Bangladesh,4871.4463, 4.2821
Bulgaria,22379.094, 5.2655
Canada,46064.254, 6.9607
Congo,3433.959, 5.2671
Costa Rica,19903.14, 7.0694
Dominican Republic,17003.014 ,5.5451
Egypt,11951.447, 4.2827
El Salvador,7982.626, 6.0605
Italy,39073.414, 6.4831
Finland,47154.426, 7.8421
Germany,51423.234, 6.8918
Guatemala,8393.284, 6.4345
